Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,549,3589.09,0,3589.09,717.96,
No Discount,Flat Iron Square Public,428,2822.8,0,2822.8,564.6,
No Discount,Breddos,10,75.02,0,75.02,14.98,
No Discount,Souvlaki & Chips,34,230.5,0,230.5,46.1,
No Discount,Game Keeper - FIS,46,242.04,0,242.04,48.51,
No Discount,Cluck Farmyard,31,218.73,0,218.73,43.77,
Comp tvg Staff Discount 50%,,2,6.66,6.68,13.34,1.34,
Comp tvg Staff Discount 50%,Flat Iron Square Public,2,6.66,6.68,13.34,1.34,
Comp Staff Meal 100%,,5,0,17.15,17.15,0,
Comp Staff Meal 100%,Game Keeper - FIS,5,0,17.15,17.15,0,
